birds, neural network result (jump), currentFitness
16,9.684098,1.856642
16,4.327541,1.864967
15,-16.79623,1.873308
15,-0.312159,1.881633
15,14.87974,1.889972
15,7.595562,1.898297
15,-10.77799,1.906639
15,-12.20631,1.914973
15,-4.03956,1.923298
15,14.35591,1.931639
15,-11.16589,1.939964
15,-5.320059,1.948302
15,17.63187,1.9567
15,12.64883,1.965025
15,-16.06068,1.97335
15,-2.56774,1.981675
15,9.892078,1.99
15,8.073916,1.998325
15,-12.89907,2.006649
15,6.357612,2.014975
15,-10.80291,2.0233
15,11.40998,2.031638
15,3.263959,2.039963
15,-12.24508,2.048303
15,-4.865221,2.056636
15,-4.053974,2.064961
15,2.647464,2.073306
15,-22.09354,2.081631
15,-1.540273,2.089972
15,-10.09998,2.098297
15,15.70806,2.106638
15,19.83662,2.114963
15,-3.982792,2.1233
15,-1.377062,2.131625
14,-4.784314,2.139972
14,10.50666,2.148297
14,8.081468,2.156637
14,-6.96259,2.164962
13,-3.954815,2.173302
13,5.242163,2.181628
13,19.40615,2.189971
13,-3.805162,2.198311
13,-7.102953,2.206636
13,-7.115747,2.214961
13,-12.34613,2.223302
13,8.181192,2.231636
13,-3.554996,2.239961
13,7.561483,2.248301
13,7.342474,2.256635
13,-10.4721,2.26496
13,10.68271,2.273303
13,1.754696,2.281628
13,-1.604177,2.289964
13,-16.34258,2.298289
13,-19.65869,2.306632
13,-0.062968,2.314957
13,11.86378,2.32332
13,-10.31024,2.331645
13,-0.69643,2.33997
13,11.70588,2.348295
13,-5.482265,2.356629
13,13.17812,2.364954
13,-12.09685,2.373301
13,18.65825,2.381626
13,-13.54613,2.389967
13,4.898612,2.398302
13,19.91272,2.406627
13,6.600489,2.414965
13,6.913282,2.4233
13,-4.154389,2.431625
13,-0.385329,2.439967
13,4.238403,2.448292
13,9.380453,2.456634
13,-5.395947,2.464959
13,-19.56712,2.473299
13,-3.015422,2.481635
13,-9.267595,2.48996
13,-14.7091,2.498294
13,16.70596,2.506633
13,-19.38588,2.514958
13,-5.127048,2.523294
13,-3.251625,2.531631
13,-11.197,2.539965
13,-10.69274,2.54829
13,2.988012,2.556628
13,11.89671,2.564953
13,-10.80554,2.573293
13,-1.843412,2.581618
13,-12.67448,2.589964
13,-2.945433,2.598289
13,14.70654,2.606631
13,27.35226,2.614956
13,-9.483715,2.623299
13,12.4975,2.631633
13,-13.02492,2.639969
13,5.862637,2.648294
13,-10.66605,2.656632
13,28.31154,2.664958
13,-21.26941,2.673295
13,-16.35518,2.681631
13,8.831563,2.689956
13,17.01797,2.698298
13,4.521369,2.706631
13,16.57471,2.714957
13,-3.473156,2.723297
13,8.313109,2.731632
13,4.893032,2.739957
13,9.238521,2.748295
12,11.91706,2.756629
12,21.91329,2.764963
12,5.384419,2.7733
12,-9.493142,2.781625
12,18.33321,2.789958
12,-15.34826,2.798295
12,-3.223011,2.80662
12,21.87245,2.814957
12,-2.959049,2.823294
12,-14.01303,2.83163
12,3.191864,2.839956
12,19.52453,2.848294
12,-3.678522,2.856619
12,-10.87928,2.864955
12,-7.164969,2.873293
12,-17.70855,2.881618
12,-15.99183,2.889967
12,-7.534604,2.898292
12,0.247524,2.906629
12,8.488521,2.914954
12,-7.450275,2.92331
12,-19.70043,2.931635
12,-17.26425,2.93996
12,7.919619,2.948297
12,-19.4139,2.956622
12,20.05675,2.964959
12,-11.69428,2.973284
12,17.07984,2.981622
12,-12.31524,2.989961
12,16.07324,2.998296
12,-10.97295,3.006621
12,4.400772,3.014959
12,-18.83562,3.023293
12,-3.930358,3.031627
12,-12.01822,3.039965
12,-2.02195,3.048312
12,13.83679,3.056637
12,13.77486,3.064962
12,17.67505,3.073299
12,8.950991,3.081624
12,13.54091,3.089949
12,-7.494592,3.0983
12,22.75053,3.106625
12,19.26687,3.11496
12,31.52024,3.123299
12,6.147675,3.131624
12,-12.76513,3.139949
12,14.25148,3.14829
12,14.45751,3.156615
12,10.29496,3.164962
12,24.49558,3.173287
