birds, neural network result (jump), currentFitness
7,23.18353,4.237583
7,12.12007,4.240817
7,6.435403,4.243725
7,1.353273,4.246438
7,13.95883,4.249454
7,3.691997,4.253697
7,2.580855,4.256104
7,2.362976,4.259893
7,13.74763,4.262519
7,4.615963,4.265104
7,-8.638803,4.269728
7,17.1387,4.272884
7,0.807499,4.276205
7,-16.98184,4.279377
7,-17.35081,4.282556
7,14.48886,4.288036
7,0.6168,4.29412
6,-11.30584,4.297331
6,-5.064045,4.302687
6,12.67879,4.305686
6,4.536358,4.310162
6,24.228,4.313671
6,9.779581,4.316435
6,-8.037273,4.32382
6,-14.35321,4.32804
6,-16.73581,4.330478
6,5.14062,4.335643
6,3.106281,4.338126
6,3.517148,4.340488
6,-2.04382,4.345189
6,9.191215,4.347389
6,12.68126,4.35136
6,8.412965,4.35368
6,-9.298128,4.356124
6,-9.459514,4.360802
6,-6.506214,4.365315
6,23.17972,4.36945
6,-8.725376,4.372798
6,-25.20195,4.375767
6,-18.32414,4.379403
6,8.592749,4.382357
6,7.38354,4.385736
6,-14.94814,4.388608
6,-12.59046,4.391178
6,13.44889,4.393544
6,15.38793,4.395998
6,-9.5419,4.400884
6,-16.5317,4.40327
6,9.579499,4.406121
6,15.70033,4.408406
6,-20.04782,4.410739
6,10.74691,4.413099
6,-6.326978,4.41537
6,16.53937,4.419488
6,-13.46916,4.422132
6,-5.534013,4.424476
6,12.94313,4.427678
6,-12.6392,4.430171
6,9.535054,4.43248
6,22.48595,4.43535
6,4.336598,4.43752
6,-15.92289,4.440348
6,26.7878,4.443247
6,20.08609,4.445439
6,-2.34531,4.447509
6,-3.85784,4.449519
6,-3.268597,4.4523
6,-11.66854,4.454525
6,17.17953,4.457838
6,2.353943,4.460271
6,-13.03335,4.463237
6,-5.795602,4.46618
6,-1.449206,4.470405
6,-11.29264,4.475424
6,11.2555,4.478509
6,0.56149,4.480479
6,4.834032,4.482657
6,21.87483,4.485427
6,9.241907,4.487413
6,-13.87485,4.489657
6,14.00441,4.493056
6,20.60852,4.495379
6,6.323989,4.499177
6,-8.897997,4.50457
6,-24.85146,4.507015
6,12.31109,4.509389
6,-16.5799,4.511535
6,12.66554,4.514228
6,-21.22156,4.518786
6,8.371594,4.521478
6,15.8039,4.524185
6,-3.109892,4.526633
6,16.57019,4.529298
6,18.45939,4.533284
6,-8.195042,4.536055
6,7.586044,4.538208
6,5.992827,4.540289
6,-14.67485,4.543208
6,4.020601,4.545774
6,-4.172365,4.548502
6,8.385546,4.551554
6,12.59186,4.553637
6,-4.29892,4.555662
6,15.46152,4.558205
6,-20.70331,4.561268
6,-3.289214,4.563682
6,19.79433,4.566441
6,27.21797,4.569778
6,10.34657,4.572121
6,1.859025,4.575454
6,-1.177249,4.578506
6,-5.918331,4.581368
6,-7.750844,4.584045
6,-7.106513,4.586396
6,-15.29165,4.588749
6,14.80834,4.591403
6,-20.72581,4.593986
6,14.03885,4.59659
6,13.20091,4.598728
6,-4.561615,4.601707
6,17.08059,4.606605
6,8.374527,4.609588
6,7.479037,4.61191
6,-0.924435,4.614519
6,7.691606,4.617826
6,14.01734,4.620575
6,13.32865,4.624722
6,-13.59038,4.62741
6,-9.787923,4.629539
6,18.89242,4.632479
6,3.889621,4.634681
6,4.494339,4.637018
6,-0.055953,4.639512
6,-10.6665,4.642254
6,-10.43337,4.644625
6,20.6142,4.647699
6,-3.195002,4.650252
6,-21.63137,4.652508
6,6.974474,4.654694
6,2.85389,4.658941
6,-0.562203,4.661391
6,14.57655,4.664608
6,-17.46736,4.667717
6,4.702825,4.670729
6,-12.25504,4.672888
6,2.575846,4.675418
6,-4.009128,4.677602
6,-7.861176,4.679756
6,-2.884024,4.682489
6,7.707562,4.686592
6,0.325489,4.688702
6,-14.94692,4.691218
6,20.41389,4.693552
6,14.01908,4.695862
6,-7.264078,4.698546
6,0.606479,4.701076
6,20.29901,4.703452
6,-15.60876,4.705576
6,-10.70503,4.710054
6,-2.288473,4.712355
6,4.405847,4.714405
6,-1.625517,4.717069
6,-1.404688,4.719788
6,15.19829,4.722597
6,-13.12576,4.724866
6,22.23786,4.727409
6,-8.885473,4.729402
6,-7.270162,4.731487
6,1.441834,4.733933
6,3.362862,4.735946
6,13.62381,4.737904
6,8.818007,4.739869
6,-17.34621,4.741808
6,-22.06506,4.743761
6,-18.88822,4.745668
6,10.23193,4.747429
6,4.201097,4.749722
6,28.73572,4.751488
6,-4.678615,4.760355
6,-14.81371,4.764036
6,-5.046564,4.767008
6,-10.65484,4.769013
6,-7.723749,4.771071
6,-10.62794,4.774906
6,12.02245,4.777598
6,-12.71371,4.779613
6,9.139785,4.782155
6,-12.42463,4.784932
6,-7.071693,4.787258
6,-15.0276,4.789681
6,-13.9126,4.79222
6,11.26797,4.794559
6,2.568373,4.798558
6,1.590063,4.802553
6,8.389567,4.805418
6,11.90816,4.807751
6,8.013701,4.809828
6,11.32433,4.814825
6,-3.994821,4.817524
6,12.07788,4.819455
6,23.20024,4.821829
6,12.09797,4.824871
6,6.457745,4.827059
6,1.27398,4.829082
6,13.90057,4.831743
6,3.730525,4.833821
6,2.521587,4.836091
6,2.116492,4.838298
6,13.62338,4.840422
6,4.64821,4.843405
6,-8.966257,4.846692
6,16.86969,4.849384
6,1.024145,4.852197
6,-16.68362,4.854639
6,-17.32483,4.858002
6,14.2229,4.860488
6,0.831872,4.863116
6,-11.07289,4.867599
6,-5.054722,4.871022
6,12.68181,4.87431
6,4.793928,4.878181
6,24.1438,4.884902
6,9.535377,4.890189
6,-8.157034,4.894125
6,-14.44739,4.899129
6,-16.86645,4.902696
6,5.133084,4.906751
6,3.194212,4.911832
6,3.617851,4.92065
6,-1.579189,4.92629
6,9.111756,4.930642
6,12.54682,4.936026
6,8.450527,4.938857
6,-9.55856,4.941677
6,-9.777416,4.944665
6,-6.52421,4.947712
6,23.25618,4.950184
6,-8.516098,4.953864
6,-25.03524,4.957402
6,-18.06677,4.959714
6,8.530007,4.962298
6,7.418707,4.965471
6,-14.80576,4.967647
6,-12.61001,4.970459
6,13.45399,4.973627
6,15.45127,4.976748
6,-9.675929,4.979534
6,-16.59397,4.983409
6,9.303404,4.986149
6,15.71287,4.988643
6,-19.76997,4.991251
6,10.5337,4.99368
6,-6.492083,4.996559
6,16.58061,4.99901
6,-13.06453,5.002277
6,-5.638649,5.004534
6,12.8577,5.006857
6,-12.25925,5.009419
6,9.334928,5.011685
6,22.36165,5.014593
6,4.311794,5.018044
6,-15.53597,5.022708
6,26.6867,5.025498
6,20.10079,5.030139
6,-2.233943,5.032917
6,-3.464409,5.03592
6,-3.065744,5.039495
6,-11.64747,5.042081
6,17.32534,5.045876
6,2.425705,5.048662
6,-12.75068,5.051352
6,-5.503596,5.053593
6,-1.670801,5.05597
6,-11.12271,5.058543
6,11.10365,5.060918
6,0.681392,5.064257
6,4.928956,5.06839
6,21.73653,5.071901
6,9.38233,5.074557
6,-13.94599,5.077326
6,13.86513,5.083728
6,20.35006,5.086479
6,6.149764,5.088845
6,-8.530125,5.091641
6,-25.05852,5.094403
6,12.09308,5.096376
6,-16.69435,5.098353
6,12.42614,5.100878
6,-20.99324,5.103545
6,8.302886,5.105456
6,15.70115,5.107385
6,-2.955651,5.110346
6,16.60296,5.113084
6,18.3908,5.114984
6,-8.50191,5.117908
6,7.766245,5.120568
6,6.148002,5.124869
6,-14.66612,5.127749
6,3.909481,5.129825
6,-4.344411,5.131949
6,8.325996,5.134674
6,12.4705,5.136818
6,-4.137317,5.139246
6,15.17792,5.141767
6,-21.00101,5.144009
6,-2.923229,5.146442
6,19.80339,5.148698
6,27.18355,5.151159
6,10.49211,5.153824
6,1.718991,5.156291
6,-0.952827,5.159812
6,-5.721815,5.16222
6,-7.831103,5.164488
6,-7.21566,5.166943
6,-15.60124,5.169368
6,14.67982,5.171522
6,-20.50609,5.173485
6,13.90946,5.175689
6,13.02705,5.177649
6,-4.593689,5.179573
6,16.96359,5.18151
6,8.395558,5.183855
6,7.421185,5.18621
6,-0.564909,5.188992
6,7.418633,5.192077
6,14.02386,5.194284
6,13.4814,5.196746
6,-13.81494,5.198876
6,-9.541873,5.201697
6,19.01796,5.204962
6,3.99101,5.210462
6,4.581595,5.213276
6,-0.292805,5.215946
6,-10.88566,5.218966
6,-10.50309,5.221064
6,20.52003,5.223556
6,-3.493734,5.228654
6,-21.88966,5.233521
6,6.917025,5.23593
6,2.857998,5.238959
6,-0.52429,5.24147
6,14.46085,5.243962
6,-17.46276,5.245948
6,4.774989,5.249113
6,-12.05532,5.252606
6,2.633081,5.254882
6,-4.059196,5.256973
6,-7.806636,5.259322
6,-2.728796,5.261615
6,7.665579,5.264969
6,0.472775,5.268046
6,-14.49716,5.271105
6,20.38111,5.273545
6,13.97281,5.275627
6,-6.932042,5.277902
6,0.484149,5.280774
6,20.33671,5.283153
6,-15.29744,5.285332
6,-10.81789,5.287394
6,-2.260469,5.289729
6,4.405893,5.291865
6,-1.308744,5.294177
6,-1.028039,5.296081
6,15.19026,5.298974
6,-13.0254,5.302211
6,22.07587,5.305135
6,-8.524846,5.307353
6,-6.818298,5.31003
6,1.268854,5.312678
6,3.245683,5.315555
6,13.6704,5.318101
6,8.701978,5.320431
6,-17.47258,5.323276
6,-22.0069,5.32687
6,-18.35282,5.329041
6,10.26794,5.331529
6,4.119282,5.336939
6,28.7306,5.33932
6,-4.493985,5.341679
6,-14.38859,5.34427
6,-5.383973,5.346447
6,-10.9209,5.34858
6,-7.793226,5.351418
6,-10.89046,5.353486
6,11.97871,5.355904
6,-12.83947,5.358468
6,9.151008,5.360392
6,-12.62623,5.362347
6,-6.78501,5.364646
6,-15.31669,5.368986
6,-13.7386,5.370989
6,11.35784,5.372927
6,2.761244,5.375312
6,1.377284,5.377211
6,8.256089,5.379176
6,11.96945,5.384084
6,7.969684,5.386558
6,11.39957,5.389288
6,-3.907904,5.391725
6,12.11073,5.394076
6,23.13013,5.396049
6,12.15775,5.39831
6,6.231602,5.402271
6,1.07649,5.404511
6,13.7993,5.406415
6,3.580505,5.409758
6,2.537206,5.411669
6,1.906465,5.413501
6,13.42694,5.415345
6,4.560062,5.417922
6,-9.266146,5.419777
6,16.70937,5.421568
6,1.148666,5.423506
6,-16.34379,5.425537
6,-17.24699,5.427758
6,14.0612,5.429652
6,0.930709,5.431786
6,-10.78617,5.436558
6,-5.017228,5.438879
6,12.6995,5.440947
6,4.854923,5.44311
6,24.19829,5.445268
6,9.377016,5.447632
6,-8.21547,5.450134
6,-14.48073,5.452125
6,-16.90822,5.454044
6,5.030658,5.455982
6,3.167192,5.45781
6,3.609263,5.459608
6,-1.125639,5.461717
6,9.181352,5.464385
6,12.43558,5.467272
6,8.535935,5.469617
6,-9.783581,5.47162
6,-10.055,5.473534
6,-6.532889,5.475934
6,23.19781,5.478451
6,-8.263582,5.480562
6,-24.78497,5.482466
6,-17.72186,5.484747
6,8.297347,5.486706
6,7.457337,5.488639
6,-14.63529,5.49153
6,-12.60668,5.493807
6,13.24593,5.495838
6,15.52929,5.49786
6,-9.76816,5.500371
6,-16.58301,5.502335
6,9.169344,5.504264
6,15.58741,5.506208
6,-19.41273,5.508164
6,10.34532,5.510038
6,-6.629419,5.51206
6,16.55939,5.514299
6,-12.58586,5.517135
6,-5.726529,5.519161
6,12.78783,5.521024
6,-11.81412,5.52306
